iter	Logloss
0	0.6504759889
1	0.6138697776
2	0.5880843814
3	0.5624276895
4	0.5402418125
5	0.5225676521
6	0.5071648207
7	0.4918073559
8	0.4774464917
9	0.4651249911
10	0.4554651651
11	0.4460300741
12	0.4377414287
13	0.4291997541
14	0.422794167
15	0.4163416506
16	0.4098711892
17	0.4043153011
18	0.3983088509
19	0.3929936506
20	0.3882402868
21	0.3845865486
22	0.3798156015
23	0.3772036812
24	0.3749171833
25	0.3713941221
26	0.3687241576
27	0.3662777837
28	0.3625184875
29	0.3600962693
30	0.3574531054
31	0.3553580887
32	0.3522477214
33	0.3506006312
34	0.3479816244
35	0.3457348308
36	0.3435100718
37	0.3404287219
38	0.3372647741
39	0.335743939
40	0.33489523
41	0.3325273345
42	0.3304873922
43	0.3283665727
44	0.3266392468
45	0.3250458002
46	0.3225121647
47	0.3210482791
48	0.3197019272
49	0.3173993193
50	0.3156022278
51	0.3145136569
52	0.3134564829
53	0.3117685085
54	0.3108175648
55	0.3086392817
56	0.3079460617
57	0.3065143909
58	0.3043250802
59	0.3034156488
60	0.3018720056
61	0.2993380129
62	0.2972314653
63	0.2953882186
64	0.2947633006
65	0.2941519411
66	0.2923878157
67	0.2903563925
68	0.2888174922
69	0.2875441983
70	0.286282411
71	0.2842812959
72	0.2834987092
73	0.2817476882
74	0.2812039086
75	0.2793894899
76	0.277809407
77	0.2771473811
78	0.276560839
79	0.2763131509
80	0.2761371861
81	0.2759108125
82	0.2756471363
83	0.2750690554
84	0.2740296546
85	0.2738633652
86	0.2732827924
87	0.2731263644
88	0.2729353986
89	0.2726890289
90	0.272193826
91	0.2720231147
92	0.2707973564
93	0.2705931799
94	0.2701827734
95	0.2696091222
96	0.2689176448
97	0.267433794
98	0.2667777547
99	0.2659209459
