iter	Passed	Remaining
0	51	5056
1	53	2619
2	56	1816
3	58	1405
4	61	1159
5	63	993
6	65	874
7	68	782
8	70	713
9	72	655
10	76	617
11	78	576
12	81	542
13	83	512
14	85	486
15	88	462
16	90	442
17	92	423
18	95	407
19	97	391
20	100	377
21	102	363
22	105	351
23	107	339
24	109	329
25	112	318
26	114	309
27	116	300
28	119	291
29	121	283
30	123	275
31	126	267
32	128	261
33	130	254
34	133	247
35	135	241
36	138	235
37	140	229
38	142	223
39	145	217
40	147	212
41	149	206
42	152	201
43	154	196
44	156	191
45	159	186
46	161	182
47	163	177
48	166	172
49	168	168
50	170	164
51	173	159
52	175	155
53	177	151
54	180	147
55	182	143
56	184	139
57	187	135
58	189	131
59	191	127
60	194	124
61	196	120
62	198	116
63	201	113
64	203	109
65	205	105
66	207	102
67	210	98
68	212	95
69	214	92
70	217	88
71	219	85
72	221	82
73	224	78
74	226	75
75	228	72
76	231	69
77	233	65
78	235	62
79	237	59
80	240	56
81	242	53
82	244	50
83	246	46
84	249	43
85	251	40
86	253	37
87	255	34
88	258	31
89	260	28
90	262	25
91	264	23
92	267	20
93	269	17
94	271	14
95	273	11
96	276	8
97	278	5
98	280	2
99	283	0
